Selection,title,abstract,author,journal,Issue type,year,doi,keywords,justification
non pertinent,Machine Learning Approaches for Effective Energy-Efficient Resource Management Strategies in Cloud Services,Non disponible,"Abhilasha Chauhan, Suchi Johari",Advanced Computing Techniques for Optimization in Cloud,,2024,https://doi.org/10.1201/9781003457152-4,"Cloud computing, Computer science, Resource (disambiguation), Operating system, Computer network","❌ Titre: L'article traite de la gestion des ressources, pas de l'efficacité des modèles ML"
non pertinent,A wavelet-based sampling algorithm for wireless sensor networks applications,"This work proposes and evaluates a sampling algorithm based on wavelet transforms with Coiflets basis to reduce the data sensed in wireless sensor networks applications. The Coiflets basis is more computationally efficient when data are smooth, which means that, data are well approximated by a polynomial function. As expected, this algorithm reduces the data traffic in wireless sensor network and, consequently, decreases the energy consumption and the delay to delivery the sensed information. Th...","André L. L. Aquino, Ricardo Oliveira, Elizabeth F. Wanner",Proceedings of the 2010 ACM Symposium on Applied Computing,,2010,https://doi.org/10.1145/1774088.1774433,"Wireless sensor network, Algorithm, Computer science, Wavelet, Sampling (signal processing)","❌ Titre: L'article traite des capteurs sans fil, pas de l'efficacité des modèles ML"
non pertinent,Data-driven Urban Energy Simulation (DUE-S): A framework for integrating engineering simulation and machine learning methods in a multi-scale urban energy modeling workflow,Non disponible,"Alex Nutkiewicz, Yang Zheng, Rishee K. Jain",Applied Energy,,2018,https://doi.org/10.1016/j.apenergy.2018.05.023,"Workflow, Scale (ratio), Energy (signal processing), Energy modeling, Computer science","❌ Titre: L'article traite de l'énergie urbaine, pas des modèles ML"
non pertinent,Data-driven Energy-efficient Adaptive Sampling Using Deep Reinforcement Learning,This article presents a resource-efficient adaptive sampling methodology for classifying electrocardiogram (ECG) signals into different heart rhythms. We present our methodology in two folds: ( i ) the design of a novel real-time adaptive neural network architecture capable of classifying ECG signals with different sampling rates and ( ii ) a runtime implementation of sampling rate control using deep reinforcement learning (DRL). By using essential morphological details contained in the heartbea...,"Berken Utku Demirel, Luke Chen, Mohammad Abdullah Al Faruque",ACM Transactions on Computing for Healthcare,,2023,https://doi.org/10.1145/3598301,"Computer science, Artificial intelligence, Reinforcement learning, Heartbeat, Adaptive sampling","⚠️ Titre: Pas d'indicateur clair de Green AI, analyse de l'abstract nécessaire"
non pertinent,On-Line Early Fault Detection of a Centrifugal Chiller Based on Data Driven Approach,"A district cooling system (DCS) is a system that distributes thermal energy through chilled water from a central source to residential, commercial, or industrial consumers, designated to air conditioning purposes. It is one of the most important part of a heating, ventilation, air conditioning and refrigeration systems (HVAC), because a DCS is composed of: Cooling towers, central chiller plant, water distribution systems and clusters of consumer buildings. This research is focused on the central...","Cinthia Audivet Durán, Marco Sanjuán","Volume 1: Biofuels, Hydrogen, Syngas, and Alternate Fuels; CHP and Hybrid Power and Energy Systems; Concentrating Solar Power; Energy Storage; Environmental, Economic, and Policy Considerations of Advanced Energy Systems; Geothermal, Ocean, and Emerging Energy Technologies; Photovoltaics; Posters; Solar Chemistry; Sustainable Building Energy Systems; Sustainable Infrastructure and Transportation; Thermodynamic Analysis of Energy Systems; Wind Energy Systems and Technologies",,2016,https://doi.org/10.1115/ES2016-59291,"HVAC, Chiller, Chiller boiler system, Fault detection and isolation, Chilled water","❌ Titre: L'article traite des refroidisseurs industriels, pas des modèles ML"
non pertinent,Autoencoder-Embedded Iterated Local Search for Energy-Minimized Task Schedules of Human–Cyber–Physical Systems,"This work considers a task scheduling problem with deadline constraints in human-cyber-physical systems. To find its energy-efficient schedules in a short time, an autoencoder-embedded iterated local search algorithm is proposed to solve it. Iterated local search is selected as a main scheduler. In order to handle real-time requirements and high computational load involved in the problem solution, a Long Short-Term Memory-based AutoEncoder model (LSTM-AE) is constructed to capture the relevant a...","ChengRan Lin, Zhengcai Cao, MengChu Zhou",IEEE Transactions on Automation Science and Engineering,,2023,https://doi.org/10.1109/TASE.2023.3267714,"Autoencoder, Computer science, Heuristics, Iterated local search, Job shop scheduling","⚠️ Titre: Pas d'indicateur clair de Green AI, analyse de l'abstract nécessaire"
pertinent,BRISE,"A considerable portion of research activities in computer science heavily relies on the process of benchmarking, e.g., to evaluate a hypothesis in an empirical study. The goal is to reveal how a set of independent variables (factors) influences one or more dependent variables. With a vast number of factors or a high amount of factors' values (levels), this process becomes time- and energy-consuming. Current approaches to lower the benchmarking effort suffer from two deficiencies: (1) they focus ...","Dmytro Pukhkaiev, Sebastian Götz",Proceedings of the 6th International Workshop on Green and Sustainable Software,,2018,https://doi.org/10.1145/3194078.3194082,"Benchmarking, Computer science, Benchmark (surveying), Sorting, Process (computing)",Prêt pour analyse de l'article
non pertinent,AI-Enabled Autonomous Drones for Fast Climate Change Crisis Assessment,"[EN] Climate change is one of the greatest challenges for modern societies. Its consequences, often associated with extreme events, have dramatic results worldwide. New synergies between different disciplines, including artificial intelligence (AI), Internet of Things (IoT), and edge computing can lead to radically new approaches for the real-time tracking of natural disasters that are also designed to reduce the environmental footprint. In this article, we propose an AI-based pipeline for proce...","Daniel Hernández, Juan‐Carlos Cano, Federico Silla, Carlos T. Calafate, José M. Cecilia",IEEE Internet of Things Journal,,2021,https://doi.org/10.1109/JIOT.2021.3098379,"Computer science, Artificial intelligence, Drone, Flooding (psychology), Cluster analysis","❌ Titre: L'article traite des drones, pas de l'efficacité des modèles ML"
pertinent,Evaluation of the field-programmable cache,"Many authors have proposed power management techniques for general-purpose processors at the cost of degraded performance such as lower IPC or longer delay. Some proposals have focused on cache memories because they consume a significant fraction of total microprocessor power. We propose a reconfigurable and adaptive cache microarchitecture based on field-programmable technology that is intended to deliver high performance at low energy consumption. In this paper, we evaluate the performance and...","Domingo Benítez, Juan Carlos Moure, Dolores Rexachs, Emilio Luque",Proceedings of the 3rd conference on Computing frontiers,,2006,https://doi.org/10.1145/1128022.1128070,"Cache, Computer science, Smart Cache, Microarchitecture, Cache algorithms",Prêt pour analyse de l'article
non pertinent,A Reinforcement Learning Based Framework for Holistic Energy Optimization of Sustainable Cloud Data Centers,"The widespread adoption of cloud data centers has led to a rise in energy consumption, with the associated carbon emissions posing a further threat to the environment. Cloud providers are increasingly moving towards sustainable data centers powered by renewable energy sources (RES). The existing approaches fail to efficiently coordinate IT and cooling resources in such data centers due to the intermittent nature of RES and the complexity of state and action spaces among different devices, result...","Daming Zhao, Jian-Tao Zhou, Jidong Zhai, Keqin Li",IEEE Transactions on Services Computing,,2024,https://doi.org/10.1109/TSC.2024.3495495,"Computer science, Reinforcement learning, Cloud computing, Efficient energy use, Distributed computing","❌ Titre: L'article traite des centres de données, pas de l'efficacité des modèles ML eux-mêmes"
pertinent,Integrating Generative AI into Predictive Modeling for Energy Efficiency Optimization in Building Design,Non disponible,"Dina Tahat, Ahmed Mansoori, Khalaf Tahat, Raghad Alfaisal, Hana Yousuf, Said A. Salloum",Studies in computational intelligence,,2025,https://doi.org/10.1007/978-3-031-89175-5_36,"Generative grammar, Computer science, Generative Design, Artificial intelligence, Machine learning",Prêt pour analyse de l'article
pertinent,Integrating Machine Learning Into the Design of Green Building Systems,"Abstract Sustainable infrastructure design is a complicated process often requiring detailed estimates specifications and constraints of the project scope to be compiled. Beyond the time-consuming gathering of project data sometimes the availability of completed projects is limited. Therefore, a method to produce similar designs with varied constraints requires a systems engineering perspective. Systems engineering provides a method to evaluate multidisciplinary design development while simultan...","Emily Payne, Astrid Layton",Volume 2B: 44th Computers and Information in Engineering Conference (CIE),,2024,https://doi.org/10.1115/DETC2024-143653,"Computer science, Architectural engineering, Systems engineering, Engineering",Prêt pour analyse de l'article
non pertinent,FedLoRa: IoT Spectrum Sensing Through Fast and Energy-Efficient Federated Learning in LoRa Networks,"Effective spectrum sensing is quintessential to decrease spectrum congestion across time, space and frequency in Internet of Things (IoT) networks. To circumvent the severe bandwidth constraints of IoT networks, federated machine learning (FML) can be used, but it is still unclear whether FML can be successfully performed in resource-constrained bandwidth-limited IoT networks. In this paper, we demonstrate for the first time that FML can tolerate losses up to a certain percentage and still conve...","Fabio Busacca, Stefano Mangione, Giovanni Neglia, Ilenia Tinnirello, Sergio Palazzo, Francesco Restuccia",2024 IEEE 21st International Conference on Mobile Ad-Hoc and Smart Systems (MASS),,2024,https://doi.org/10.1109/MASS62177.2024.00047,"Computer science, Internet of Things, Spectrum (functional analysis), Energy (signal processing), Efficient energy use","❌ Titre: L'article traite de la détection de spectre, pas des modèles ML"
